Age,Gender,Work Experience,Monthly Income,Monthly Household Expense,Marital Status,Number of Children,Education Level,Have bank account,Savings in bank,Have smartphone,Access to internet,Loan Approval,Loan Approval Process (days)
54.0,Female,23.0,2467809.0,1657309,Married,0.0,Secondary,No,0.0,Yes,Yes,Yes,4.0
24.0,Male,6.0,1236076.0,955282,Married,4.0,Primary,No,0.0,Yes,Yes,No,13.0
38.0,Female,3.0,2508495.0,1678835,Married,4.0,Secondary,Yes,97888608.0,Yes,No,Yes,3.0
26.0,Male,1.0,1360131.0,1139042,Married,5.0,Primary,Yes,1441349.0,Yes,Yes,No,5.0
56.0,Female,2.0,1574836.0,907409,Married,0.0,Secondary,No,0.0,No,Yes,No,9.0
35.0,Female,5.0,2969113.0,2358496,Single,0.0,Primary,No,0.0,Yes,Yes,Yes,4.0
21.0,Male,3.0,1494926.0,1269793,Married,2.0,Primary,No,0.0,Yes,Yes,No,8.0
42.0,Female,11.0,1901742.0,1519392,Married,0.0,Diploma,Yes,175613014.0,No,Yes,Yes,1.0
31.0,Female,4.0,2231505.0,1637868,Married,0.0,Primary,Yes,18469996.0,No,Yes,Yes,3.0
26.0,Male,7.0,1958556.0,1765860,Married,1.0,Primary,No,0.0,Yes,No,No,9.0
43.0,Male,21.0,1978537.0,1307767,Married,2.0,Primary,No,0.0,Yes,Yes,No,10.0
19.0,Female,1.0,1760422.0,980717,Married,2.0,Primary,No,0.0,No,Yes,No,8.0
37.0,Male,0.0,888432.0,630641,Married,0.0,Primary,No,0.0,No,No,No,7.0
45.0,Female,3.0,2043802.0,1149054,Single,0.0,Diploma,No,0.0,No,Yes,No,9.0
24.0,Male,4.0,1287272.0,1162350,Divorced/Widowed,1.0,Secondary,Yes,44914175.0,No,Yes,No,11.0
25.0,Female,3.0,2343037.0,1470653,Married,2.0,Secondary,Yes,17220332.0,Yes,No,Yes,3.0
52.0,Male,34.0,2760442.0,2324024,Married,1.0,Primary,No,0.0,Yes,Yes,Yes,2.0
31.0,Female,12.0,600000.0,501955,Married,2.0,Primary,No,0.0,Yes,No,No,5.0
34.0,Female,16.0,2761665.0,1741394,Married,4.0,Primary,Yes,102173639.0,Yes,Yes,Yes,5.0
53.0,Female,9.0,1512259.0,1179340,Divorced/Widowed,3.0,Primary,No,0.0,Yes,No,No,9.0
57.0,Female,9.0,1708335.0,969974,Single,1.0,Secondary,Yes,66852070.0,Yes,Yes,No,10.0
21.0,Male,1.0,1161328.0,846518,Married,4.0,Primary,No,0.0,No,Yes,No,7.0
19.0,Female,0.0,1931927.0,1073029,Married,2.0,Diploma,No,0.0,No,No,No,5.0
23.0,Male,4.0,1846770.0,1645145,Married,3.0,Primary,No,0.0,Yes,No,No,8.0
59.0,Male,37.0,2553845.0,2326940,Married,2.0,Primary,Yes,150535436.0,Yes,No,Yes,4.0
21.0,Male,3.0,1281024.0,809920,Single,0.0,Primary,No,0.0,No,Yes,No,6.0
46.0,Male,1.0,2962561.0,1857523,Single,0.0,Primary,Yes,136770240.0,Yes,No,Yes,4.0
35.0,Female,16.0,2265299.0,1877653,Married,2.0,Primary,No,0.0,Yes,Yes,Yes,3.0
43.0,Female,3.0,1863678.0,1199743,Married,2.0,Primary,No,0.0,Yes,Yes,No,5.0
51.0,Male,13.0,1673450.0,1474607,Single,0.0,Primary,Yes,121699589.0,Yes,Yes,Yes,4.0
27.0,Male,9.0,1585401.0,1208636,Married,3.0,Secondary,No,0.0,Yes,No,No,7.0
53.0,Female,34.0,1631059.0,1108773,Married,0.0,Secondary,No,0.0,No,No,No,12.0
31.0,Male,8.0,1917881.0,1645727,Married,1.0,Primary,No,0.0,No,No,No,8.0
48.0,Male,2.0,1653700.0,1211435,Married,0.0,Primary,Yes,30294342.0,No,No,No,7.0
32.0,Male,14.0,1351629.0,1199306,Married,2.0,Secondary,Yes,73807855.0,Yes,No,No,8.0
25.0,Female,5.0,1922121.0,1717156,Single,0.0,Bachelor,Yes,125227645.0,No,Yes,Yes,3.0
31.0,Female,0.0,1214598.0,742368,Married,4.0,Secondary,Yes,39525146.0,No,Yes,No,8.0
40.0,Male,11.0,2025726.0,1115890,Married,2.0,Primary,No,0.0,No,No,No,6.0
57.0,Male,23.0,1643853.0,1502571,Married,2.0,Secondary,No,0.0,Yes,Yes,No,8.0
38.0,Female,10.0,2287711.0,2025243,Married,1.0,Secondary,No,0.0,No,Yes,No,13.0
33.0,Female,8.0,2492351.0,1421922,Married,2.0,Primary,No,0.0,Yes,Yes,Yes,4.0
35.0,Male,3.0,2492076.0,2138756,Single,0.0,Secondary,No,0.0,No,Yes,Yes,4.0
41.0,Female,5.0,2022673.0,1455086,Married,2.0,Primary,No,0.0,Yes,No,No,5.0
43.0,Male,0.0,2104381.0,1359042,Married,3.0,Bachelor,No,0.0,Yes,Yes,No,5.0
42.0,Male,19.0,1574074.0,1377529,Married,4.0,Secondary,No,0.0,No,No,No,5.0
58.0,Female,27.0,2274347.0,1416387,Married,4.0,Secondary,No,0.0,Yes,Yes,Yes,5.0
46.0,Male,15.0,2353350.0,2119194,Married,2.0,Secondary,Yes,168439859.0,Yes,No,Yes,4.0
32.0,Female,14.0,702869.0,440052,Married,1.0,Primary,Yes,168616957.0,No,No,No,10.0
18.0,Male,0.0,2064843.0,1604512,Married,2.0,Secondary,Yes,45241953.0,No,No,Yes,1.0
42.0,Male,16.0,2757690.0,1744354,Married,2.0,Secondary,Yes,29424255.0,Yes,No,Yes,1.0
24.0,Female,3.0,1550596.0,1165889,Married,3.0,Secondary,No,0.0,No,Yes,No,10.0
26.0,Male,5.0,1397817.0,1122546,Single,0.0,Diploma,No,0.0,Yes,Yes,No,12.0
41.0,Female,20.0,1506095.0,934357,Married,3.0,Diploma,No,0.0,Yes,Yes,No,12.0
18.0,Male,0.0,746586.0,554510,Married,3.0,Bachelor,Yes,147380601.0,Yes,No,No,7.0
25.0,Male,1.0,1888188.0,1366202,Single,0.0,Secondary,No,0.0,Yes,No,No,9.0
41.0,Male,14.0,1820975.0,1049398,Single,0.0,Secondary,Yes,121842390.0,Yes,Yes,Yes,2.0
28.0,Female,8.0,1937918.0,1652605,Single,0.0,Primary,No,0.0,Yes,No,No,8.0
34.0,Male,1.0,2091183.0,1409880,Single,0.0,Secondary,No,0.0,No,Yes,No,5.0
25.0,Female,4.0,1241404.0,946688,Married,3.0,Primary,Yes,51489648.0,Yes,Yes,No,13.0
52.0,Male,5.0,1991239.0,1474453,Divorced/Widowed,1.0,Primary,No,0.0,No,No,No,9.0
52.0,Female,6.0,2110239.0,1561379,Married,3.0,Primary,No,0.0,No,Yes,No,6.0
50.0,Male,31.0,1458125.0,859815,Married,3.0,Diploma,Yes,55116878.0,Yes,Yes,No,6.0
22.0,Female,4.0,2094082.0,1479863,Divorced/Widowed,3.0,Diploma,Yes,17105506.0,No,No,No,11.0
59.0,Female,24.0,1856494.0,1331803,Married,3.0,Secondary,No,0.0,No,No,No,8.0
56.0,Female,32.0,1358167.0,1115663,Married,2.0,Primary,Yes,8123364.0,Yes,Yes,No,5.0
58.0,Female,6.0,1997952.0,1719851,Married,2.0,Secondary,No,0.0,Yes,No,No,9.0
45.0,Female,19.0,1596502.0,1200000,Married,1.0,Secondary,No,0.0,No,Yes,No,6.0
24.0,Female,0.0,2287945.0,1331834,Married,2.0,Primary,Yes,163929950.0,No,Yes,Yes,1.0
26.0,Male,4.0,1632583.0,1040990,Married,2.0,Primary,Yes,87772581.0,No,No,No,5.0
25.0,Male,3.0,897164.0,548190,Single,0.0,Primary,No,0.0,Yes,Yes,No,6.0
29.0,Female,6.0,1986890.0,1184400,Married,3.0,Secondary,No,0.0,Yes,Yes,No,10.0
51.0,Female,8.0,1960582.0,1343749,Married,2.0,Secondary,No,0.0,Yes,Yes,No,12.0
50.0,Female,31.0,1043204.0,662304,Married,5.0,Primary,No,0.0,Yes,No,No,11.0
40.0,Male,10.0,2325375.0,1466781,Married,1.0,Bachelor,No,0.0,Yes,Yes,Yes,1.0
41.0,Male,7.0,2288754.0,1305131,Single,0.0,Primary,Yes,170471349.0,Yes,Yes,Yes,2.0
54.0,Male,32.0,1191013.0,662843,Married,2.0,Primary,No,0.0,Yes,Yes,No,13.0
52.0,Female,22.0,1338261.0,786929,Single,0.0,Primary,No,0.0,No,Yes,No,8.0
57.0,Male,24.0,1700594.0,1043676,Married,2.0,Primary,No,0.0,Yes,Yes,No,7.0
39.0,Male,7.0,1268803.0,900170,Divorced/Widowed,0.0,Primary,No,0.0,Yes,Yes,No,11.0
44.0,Male,12.0,2248278.0,1661235,Married,1.0,Primary,No,0.0,No,No,No,9.0
52.0,Male,21.0,1904280.0,1146412,Single,0.0,Secondary,No,0.0,No,No,No,9.0
18.0,Female,0.0,1034509.0,731573,Married,1.0,Primary,No,0.0,Yes,No,No,6.0
52.0,Male,3.0,1224270.0,828153,Married,3.0,Secondary,No,0.0,Yes,Yes,No,10.0
54.0,Female,2.0,2631403.0,1625856,Married,0.0,Secondary,Yes,140655962.0,No,Yes,Yes,4.0
31.0,Male,12.0,2874893.0,1588467,Single,0.0,Primary,Yes,129871365.0,Yes,Yes,Yes,4.0
20.0,Male,0.0,2177110.0,1573607,Married,3.0,Secondary,No,0.0,No,Yes,No,9.0
18.0,Male,0.0,1652107.0,1327783,Married,2.0,Primary,Yes,60325893.0,Yes,Yes,No,11.0
22.0,Male,4.0,1492025.0,945529,Single,1.0,Secondary,No,0.0,Yes,No,No,12.0
43.0,Male,1.0,2184789.0,1308182,Married,3.0,Diploma,No,0.0,Yes,Yes,No,10.0
31.0,Male,1.0,1853144.0,1627441,Married,3.0,Primary,Yes,171356339.0,Yes,Yes,Yes,5.0
56.0,Female,27.0,672949.0,438600,Married,1.0,Diploma,No,0.0,Yes,Yes,No,7.0
44.0,Male,12.0,2522307.0,1595956,Married,3.0,Secondary,No,0.0,Yes,Yes,Yes,3.0
26.0,Female,6.0,2742062.0,2377712,Married,3.0,Diploma,No,0.0,No,No,Yes,5.0
32.0,Female,11.0,2316076.0,1974060,Married,2.0,Secondary,No,0.0,Yes,Yes,Yes,3.0
32.0,Female,9.0,1035872.0,741568,Married,1.0,Primary,No,0.0,Yes,No,No,6.0
43.0,Male,3.0,1354221.0,989960,Divorced/Widowed,1.0,Diploma,No,0.0,No,Yes,No,8.0
59.0,Male,25.0,600000.0,378340,Divorced/Widowed,2.0,Primary,Yes,76456078.0,Yes,No,No,8.0
30.0,Male,7.0,2917233.0,1688995,Married,2.0,Primary,No,0.0,No,Yes,Yes,4.0
49.0,Male,8.0,1550283.0,1181578,Married,3.0,Primary,No,0.0,No,No,No,12.0
56.0,Female,4.0,3433302.0,2013245,Married,0.0,Primary,Yes,65652163.0,Yes,Yes,Yes,3.0
49.0,Male,23.0,3168661.0,2269495,Married,3.0,Secondary,No,0.0,Yes,Yes,Yes,5.0
21.0,Male,3.0,1167601.0,1048486,Married,1.0,Secondary,No,0.0,No,Yes,No,9.0
47.0,Female,19.0,1304212.0,1177114,Married,1.0,Diploma,No,0.0,Yes,Yes,No,6.0
54.0,Female,10.0,2126333.0,1357776,Married,2.0,Primary,No,0.0,Yes,Yes,No,13.0
40.0,Female,14.0,600000.0,468553,Single,0.0,Bachelor,No,0.0,No,Yes,No,8.0
56.0,Male,31.0,1493218.0,1083192,Single,0.0,Diploma,No,0.0,No,Yes,No,13.0
32.0,Male,11.0,1423288.0,1243958,Married,1.0,Primary,No,0.0,No,Yes,No,13.0
60.0,Male,21.0,3095816.0,2013609,Married,2.0,Primary,No,0.0,Yes,No,Yes,2.0
46.0,Male,8.0,1912712.0,1054611,Married,4.0,Secondary,No,0.0,Yes,Yes,No,13.0
53.0,Male,16.0,1600663.0,976640,Single,0.0,Secondary,No,0.0,Yes,Yes,No,13.0
30.0,Male,10.0,1357960.0,922494,Single,0.0,Secondary,No,0.0,No,No,No,6.0
49.0,Male,25.0,2425834.0,1617586,Single,0.0,Secondary,Yes,68287032.0,Yes,No,Yes,3.0
24.0,Male,3.0,1452302.0,1224006,Single,0.0,Secondary,Yes,161778927.0,Yes,No,Yes,5.0
39.0,Male,6.0,1764801.0,1415030,Single,0.0,Primary,No,0.0,Yes,No,No,10.0
45.0,Female,9.0,1352613.0,893855,Married,1.0,Secondary,Yes,131531575.0,Yes,Yes,No,13.0
19.0,Female,0.0,737724.0,530692,Married,0.0,Primary,Yes,36263911.0,Yes,No,No,8.0
59.0,Female,25.0,1102775.0,645516,Married,1.0,Secondary,Yes,77840050.0,Yes,Yes,No,6.0
23.0,Male,0.0,1448619.0,1278137,Divorced/Widowed,2.0,Secondary,No,0.0,No,Yes,No,11.0
45.0,Male,9.0,1615721.0,1447859,Married,1.0,Secondary,Yes,157088697.0,Yes,No,Yes,1.0
45.0,Male,26.0,1646403.0,1502387,Single,0.0,Master,No,0.0,No,Yes,No,10.0
37.0,Female,12.0,1737756.0,1514218,Single,0.0,Primary,No,0.0,No,Yes,No,8.0
47.0,Female,18.0,1457918.0,895694,Married,1.0,Secondary,No,0.0,Yes,Yes,No,5.0
28.0,Male,10.0,2744388.0,1556322,Married,2.0,Secondary,No,0.0,Yes,Yes,Yes,4.0
45.0,Female,12.0,2463588.0,1883291,Married,2.0,Master,Yes,27131252.0,Yes,Yes,Yes,3.0
42.0,Male,20.0,1705423.0,1513842,Married,0.0,Secondary,No,0.0,No,Yes,No,11.0
56.0,Male,7.0,1977980.0,1217684,Married,0.0,Primary,No,0.0,Yes,Yes,No,9.0
50.0,Female,3.0,1539538.0,850757,Married,1.0,Bachelor,No,0.0,No,Yes,No,7.0
18.0,Female,0.0,600000.0,508820,Married,0.0,Secondary,Yes,159032814.0,No,Yes,No,6.0
44.0,Female,14.0,1814345.0,1049443,Married,1.0,Primary,No,0.0,No,Yes,No,6.0
30.0,Female,11.0,2013930.0,1415936,Divorced/Widowed,3.0,Secondary,No,0.0,Yes,No,No,9.0
58.0,Male,10.0,671136.0,537706,Married,2.0,Diploma,No,0.0,No,Yes,No,12.0
20.0,Female,2.0,2149587.0,1370609,Single,0.0,Secondary,No,0.0,No,No,No,12.0
56.0,Male,0.0,1603596.0,931795,Married,1.0,Primary,No,0.0,Yes,Yes,No,9.0
23.0,Female,0.0,2036553.0,1700334,Married,1.0,Secondary,No,0.0,Yes,Yes,No,6.0
25.0,Male,6.0,1624720.0,1272423,Married,0.0,Secondary,No,0.0,Yes,Yes,No,8.0
44.0,Female,19.0,2675668.0,2450220,Married,2.0,Secondary,Yes,88856601.0,Yes,Yes,Yes,2.0
26.0,Male,5.0,1958360.0,1326581,Married,2.0,Primary,No,0.0,No,Yes,No,11.0
54.0,Female,23.0,2501691.0,1433098,Divorced/Widowed,0.0,Primary,No,0.0,Yes,Yes,Yes,5.0
50.0,Male,30.0,2559308.0,2103007,Married,3.0,Secondary,No,0.0,No,Yes,Yes,2.0
59.0,Female,25.0,1016310.0,755160,Married,2.0,Secondary,No,0.0,No,Yes,No,12.0
41.0,Male,16.0,1282688.0,806663,Married,1.0,Primary,Yes,141653817.0,Yes,No,No,6.0
32.0,Male,1.0,2116127.0,1775937,Married,1.0,Primary,No,0.0,Yes,No,No,12.0
49.0,Male,4.0,1544123.0,965678,Married,2.0,Primary,No,0.0,Yes,Yes,No,11.0
49.0,Male,19.0,1632975.0,1055628,Single,0.0,Secondary,No,0.0,No,No,No,7.0
41.0,Female,19.0,2700595.0,1577783,Married,1.0,Primary,No,0.0,Yes,No,Yes,5.0
58.0,Male,10.0,1582743.0,1104422,Married,1.0,Primary,Yes,4799902.0,Yes,Yes,No,8.0
29.0,Female,7.0,1121749.0,790837,Married,2.0,Primary,No,0.0,Yes,No,No,11.0
56.0,Male,32.0,1216339.0,900562,Married,1.0,Secondary,No,0.0,No,No,No,8.0
19.0,Male,1.0,3327649.0,2703105,Single,0.0,Primary,No,0.0,No,Yes,Yes,1.0
20.0,Female,1.0,1675246.0,1483023,Married,2.0,Primary,No,0.0,Yes,No,No,11.0
54.0,Female,26.0,845026.0,507828,Married,0.0,Diploma,No,0.0,Yes,No,No,5.0
34.0,Male,1.0,600000.0,342065,Married,0.0,Primary,No,0.0,No,Yes,No,5.0
19.0,Female,0.0,1362754.0,758858,Single,0.0,Primary,No,0.0,Yes,Yes,No,8.0
19.0,Female,1.0,1662434.0,1002680,Married,1.0,Bachelor,No,0.0,Yes,No,No,13.0
45.0,Male,25.0,2464421.0,1955373,Divorced/Widowed,0.0,Primary,Yes,110949609.0,Yes,No,Yes,5.0
40.0,Female,20.0,2396641.0,1963248,Married,3.0,Secondary,No,0.0,Yes,Yes,Yes,4.0
54.0,Female,4.0,1795557.0,1510076,Single,0.0,Primary,No,0.0,Yes,Yes,No,9.0
49.0,Female,5.0,1482081.0,948786,Married,2.0,Secondary,No,0.0,Yes,No,No,5.0
50.0,Male,21.0,2037721.0,1351378,Married,1.0,Primary,Yes,22879372.0,Yes,Yes,No,6.0
18.0,Female,0.0,600000.0,437255,Married,2.0,Secondary,No,0.0,Yes,No,No,8.0
36.0,Male,17.0,3186756.0,1827214,Married,1.0,Primary,No,0.0,Yes,Yes,Yes,4.0
19.0,Male,1.0,2257873.0,1752385,Married,5.0,Primary,No,0.0,Yes,Yes,No,8.0
43.0,Male,9.0,2406893.0,2199856,Single,0.0,Secondary,Yes,138033757.0,Yes,Yes,Yes,3.0
49.0,Male,13.0,1048092.0,716369,Married,1.0,Bachelor,No,0.0,Yes,Yes,No,10.0
23.0,Female,4.0,2697854.0,2235316,Married,2.0,Primary,Yes,151921398.0,No,Yes,Yes,5.0
49.0,Female,30.0,1477987.0,1086338,Married,2.0,Secondary,Yes,89874188.0,Yes,Yes,No,10.0
21.0,Female,1.0,1133209.0,676854,Married,2.0,Primary,Yes,53051634.0,No,No,No,12.0
28.0,Male,2.0,1772579.0,1356781,Single,0.0,Secondary,No,0.0,Yes,Yes,No,13.0
34.0,Male,5.0,1756211.0,1160773,Married,2.0,Primary,Yes,164805244.0,Yes,No,Yes,1.0
55.0,Male,28.0,1045024.0,588065,Married,0.0,Secondary,No,0.0,Yes,Yes,No,5.0
41.0,Female,7.0,1173543.0,921142,Single,0.0,Primary,No,0.0,Yes,Yes,No,10.0
22.0,Male,3.0,1118737.0,970845,Single,0.0,Primary,No,0.0,No,Yes,No,8.0
51.0,Female,32.0,1125399.0,762530,Single,0.0,Primary,No,0.0,Yes,Yes,No,8.0
23.0,Female,0.0,1528331.0,1061287,Divorced/Widowed,1.0,Primary,No,0.0,Yes,No,No,5.0
39.0,Male,15.0,827710.0,728118,Married,1.0,Primary,No,0.0,No,No,No,13.0
28.0,Female,10.0,1316037.0,1119993,Married,1.0,Master,No,0.0,Yes,Yes,No,7.0
33.0,Male,12.0,2531594.0,2062065,Single,0.0,Secondary,No,0.0,Yes,No,Yes,5.0
50.0,Female,10.0,2376316.0,1525725,Divorced/Widowed,2.0,Primary,Yes,125457687.0,Yes,Yes,Yes,2.0
26.0,Female,5.0,1065084.0,944495,Single,0.0,Primary,Yes,173093048.0,Yes,Yes,No,5.0
23.0,Male,0.0,2470743.0,1500071,Married,1.0,Secondary,No,0.0,Yes,Yes,Yes,3.0
33.0,Male,15.0,600000.0,469143,Married,2.0,Bachelor,No,0.0,Yes,No,No,5.0
46.0,Female,3.0,3500401.0,1962522,Married,0.0,Primary,No,0.0,Yes,Yes,Yes,2.0
20.0,Female,2.0,2710219.0,2136130,Married,0.0,Secondary,No,0.0,Yes,No,Yes,1.0
37.0,Male,15.0,1408187.0,918903,Single,0.0,Bachelor,No,0.0,No,Yes,No,7.0
53.0,Female,25.0,2067698.0,1481258,Single,0.0,Diploma,No,0.0,No,Yes,No,9.0
36.0,Female,11.0,819356.0,555316,Married,2.0,Primary,Yes,136952317.0,No,No,No,8.0
43.0,Female,10.0,1842309.0,1131030,Married,5.0,Primary,No,0.0,No,Yes,No,11.0
20.0,Male,0.0,1671435.0,1303941,Married,2.0,Secondary,No,0.0,No,No,No,10.0
36.0,Female,17.0,1215665.0,1065324,Married,0.0,Secondary,No,0.0,No,No,No,7.0
37.0,Female,18.0,1472009.0,1331963,Married,2.0,Primary,No,0.0,Yes,No,No,12.0
49.0,Male,22.0,1403108.0,871566,Single,0.0,Primary,No,0.0,Yes,Yes,No,12.0
24.0,Male,6.0,1007784.0,821775,Single,0.0,Secondary,No,0.0,Yes,Yes,No,6.0
58.0,Female,37.0,1199296.0,954406,Divorced/Widowed,3.0,Primary,No,0.0,Yes,No,No,11.0
50.0,Male,17.0,790708.0,535348,Single,0.0,Primary,No,0.0,No,Yes,No,5.0
57.0,Female,25.0,2400131.0,1337033,Married,5.0,Secondary,No,0.0,Yes,Yes,Yes,2.0
56.0,Male,5.0,1147521.0,924010,Single,0.0,Secondary,No,0.0,No,Yes,No,12.0
35.0,Male,3.0,944585.0,849968,Married,2.0,Secondary,No,0.0,Yes,Yes,No,5.0
57.0,Female,28.0,2389053.0,1872741,Married,0.0,Primary,Yes,166796572.0,Yes,Yes,Yes,2.0
18.0,Male,0.0,2058734.0,1463879,Married,2.0,Secondary,No,0.0,Yes,Yes,No,5.0
28.0,Male,10.0,2363150.0,1758908,Married,1.0,Secondary,No,0.0,Yes,Yes,Yes,5.0
45.0,Male,1.0,2441258.0,1523009,Married,3.0,Primary,No,0.0,Yes,Yes,Yes,5.0
42.0,Female,16.0,3156218.0,2612405,Married,3.0,Secondary,No,0.0,Yes,Yes,Yes,2.0
40.0,Male,10.0,1690772.0,1396874,Single,0.0,Primary,No,0.0,Yes,No,No,11.0
48.0,Male,10.0,779674.0,470799,Married,3.0,Primary,No,0.0,Yes,No,No,7.0
47.0,Female,20.0,1989726.0,1740715,Single,0.0,Primary,No,0.0,No,Yes,No,13.0
59.0,Male,15.0,1331696.0,865069,Married,1.0,Primary,No,0.0,Yes,Yes,No,7.0
52.0,Female,1.0,1129746.0,1031949,Married,2.0,Primary,No,0.0,Yes,Yes,No,10.0
24.0,Male,1.0,1869947.0,1293393,Single,0.0,Secondary,No,0.0,No,Yes,No,7.0
33.0,Female,6.0,2406026.0,1481671,Married,2.0,Primary,No,0.0,Yes,No,Yes,1.0
43.0,Male,7.0,1214803.0,826231,Married,3.0,Bachelor,No,0.0,Yes,No,No,5.0
19.0,Female,0.0,2692071.0,1919087,Married,1.0,Secondary,No,0.0,Yes,No,Yes,3.0
18.0,Male,0.0,1107270.0,637393,Married,0.0,Primary,No,0.0,No,Yes,No,8.0
29.0,Male,9.0,1629267.0,1244663,Married,4.0,Primary,Yes,53755829.0,Yes,Yes,No,6.0
22.0,Male,3.0,2070415.0,1596546,Married,2.0,Secondary,Yes,32216324.0,Yes,Yes,No,13.0
54.0,Male,29.0,1528470.0,1258548,Single,0.0,Secondary,Yes,7712034.0,No,Yes,No,12.0
49.0,Male,0.0,600000.0,336475,Married,3.0,Primary,No,0.0,Yes,Yes,No,7.0
26.0,Male,6.0,2449185.0,1837520,Married,4.0,Primary,Yes,101457860.0,No,Yes,Yes,4.0
58.0,Female,16.0,1363574.0,776658,Married,1.0,Secondary,Yes,141992107.0,Yes,Yes,No,9.0
52.0,Male,19.0,2321428.0,1879018,Married,3.0,Primary,Yes,131995301.0,Yes,Yes,Yes,4.0
36.0,Male,17.0,915099.0,522173,Married,4.0,Secondary,No,0.0,No,Yes,No,13.0
33.0,Female,5.0,1034594.0,918035,Married,4.0,Secondary,Yes,166631869.0,Yes,Yes,No,11.0
20.0,Female,0.0,2403703.0,1946447,Married,4.0,Primary,No,0.0,No,No,Yes,5.0
37.0,Male,11.0,2038355.0,1503764,Married,2.0,Primary,Yes,44125896.0,No,Yes,Yes,4.0
41.0,Male,8.0,1492990.0,1065034,Married,1.0,Primary,No,0.0,Yes,Yes,No,12.0
50.0,Male,9.0,2048522.0,1225730,Married,0.0,Secondary,No,0.0,No,Yes,No,6.0
41.0,Female,3.0,1132172.0,744595,Married,0.0,Primary,No,0.0,Yes,No,No,11.0
28.0,Female,4.0,1877181.0,1635991,Single,0.0,Primary,No,0.0,No,Yes,No,5.0
25.0,Male,3.0,1889987.0,1671972,Married,2.0,Secondary,No,0.0,Yes,No,No,12.0
